392 -615 -242, -707 -71 302, 401 -623 -290, 178 -661 -132, 
346 -560 -202, -614 245 -165, 298 -570 -376, -81 -300 -369, 
283 -583 -186, -627 259 -156, 255 -589 -356, -197 -164 -425, 
277 -583 -184, -627 260 -156, 260 -587 -357, -199 -162 -425, 
273 -584 -183, -627 260 -156, 264 -586 -358, -199 -162 -425, 
270 -584 -183, -627 260 -156, 267 -586 -358, -199 -162 -425, 
268 -584 -183, -627 260 -156, 269 -586 -358, -199 -162 -425, 
267 -584 -183, -627 260 -156, 270 -585 -358, -199 -162 -425, 
266 -585 -183, -627 260 -156, 271 -585 -357, -199 -162 -425, 
265 -585 -183, -627 260 -156, 272 -585 -357, -199 -162 -425, 
265 -585 -182, -627 260 -156, 272 -585 -357, -199 -162 -425, 
265 -585 -182, -627 260 -156, 272 -585 -357, -199 -162 -425, 
265 -585 -182, -627 260 -156, 272 -585 -357, -199 -162 -425, 
